match,playerName,teamId,position,player_score
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Vladimir Screciu,26233.0,Midfielder,1.57
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Adrián Rus,26233.0,Defender,1.73
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Siyabonga Ngezana,11565.0,Defender,1.39
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Anzor Mekvabishvili,26233.0,Midfielder,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Dennis Politic,55427.0,Midfielder,0.0
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Monday Bassey Etim,26233.0,Forward,-0.06
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Oleksandr Romanchuk,26233.0,Defender,1.07
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Aimé Steven Nsimba Labe,26233.0,Forward,0.76
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",David Miculescu,11565.0,Forward,0.34
"FCS Bucureşti - Universitatea Craiova, 1-0_players_stats.json",Assad Al Hamlawi,26233.0,Forward,-0.05
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Muntean Denys,62818.0,Midfielder,-0.03
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Loránd Bencze,22731.0,Defender,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Luca Noveli,64161.0,Forward,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Dániel Brugger,64161.0,Midfielder,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Előd Tóth-Pál,64161.0,Forward,0.07
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",David Matei,26233.0,Midfielder,1.02
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Luca Băsceanu,26233.0,Midfielder,0.49
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Darius Fălcușan,26233.0,Defender,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Máté Simon,22731.0,Goalkeeper,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Ervin-Raul Bakoș,22731.0,Midfielder,0.26
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Szabolcs Dusinszki,22731.0,Midfielder,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Carlos Mora Montoya,26233.0,Forward,2.05
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Pavlo Isenko,26233.0,Goalkeeper,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Attila Csürös,22731.0,Midfielder,0.79
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Szabolcs Szalay,22731.0,Forward,0.03
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Ştefan Baiaram,26233.0,Midfielder,1.22
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Francisco Anderson de Jesus dos Santos,22731.0,Midfielder,0.27
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Silviu Lung,26233.0,Goalkeeper,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Peter Gál-Andrezly,11579.0,Midfielder,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Dávid Kelemen,10192.0,Defender,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Márton Eppel,22731.0,Forward,0.42
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",János Ferenczi,10234.0,Defender,0.56
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Alexandru Crețu,26233.0,Midfielder,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Lyes Houri,26233.0,Midfielder,0.29
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Eduard Pap,22731.0,Goalkeeper,0.31
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Szilárd Veres,22731.0,Midfielder,0.44
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Vasile Mogoș,26233.0,Defender,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Alexandru Cicâldău,26233.0,Midfielder,1.38
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Lóránd Pászka,22731.0,Defender,0.63
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Florin Ștefan,26233.0,Defender,0.4
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Samuel Teles Pereira Nunes Silva,26233.0,Midfielder,0.9
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Laurenţiu Popescu,26233.0,Goalkeeper,0.32
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Raul Ioan Palmes,22731.0,Defender,1.03
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Nikola Stevanović,26233.0,Defender,1.85
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Vladimir Screciu,26233.0,Midfielder,2.82
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Soufiane Jebari Jebari,22731.0,Midfielder,0.31
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Maks Juraj Čelić,22034.0,Defender,0.71
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Anzor Mekvabishvili,26233.0,Midfielder,2.09
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Erwin Szilard Bloj,22731.0,Midfielder,0.24
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Monday Bassey Etim,26233.0,Forward,0.9
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Oleksandr Romanchuk,26233.0,Defender,2.35
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Aimé Steven Nsimba Labe,26233.0,Forward,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Assad Al Hamlawi,26233.0,Forward,0.48
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Alin Chintes,60374.0,Defender,0.11
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Tudor Cosa,60374.0,Goalkeeper,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Răzvan Creţ,11634.0,Defender,1.63
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Dan Dumitru,11634.0,Midfielder,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Adams Friday,11634.0,Defender,0.86
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Narcis Ilaș,11634.0,Defender,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Gabriel David,11634.0,Midfielder,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Ştefan Daniel Lefter,60374.0,Goalkeeper,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Cosmin Gheorghiță,60374.0,Midfielder,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Omar El Sawy,60374.0,Forward,0.7
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Zoran Mitrov,11634.0,Forward,1.12
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Riad Šuta,11634.0,Defender,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Coubis,60374.0,Defender,1.21
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Ștefan Pănoiu,11634.0,Forward,0.17
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Michael Pavlović,11634.0,Defender,0.59
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Oucasse N'Dayanthane Mendy,60374.0,Forward,0.17
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",John Charles Petro,11634.0,Midfielder,2.58
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Dorin Marian Codrea,60374.0,Midfielder,1.3
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Jovo Lukić,60374.0,Forward,1.15
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Enzo Adrián López,11634.0,Forward,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Ştefan Bodişteanu,11634.0,Forward,0.91
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Alexandru Chipciu,60374.0,Forward,1.48
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Dan Nistor,60374.0,Midfielder,0.4
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Alexandru Țigănașu,11634.0,Defender,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Mihai Bordeianu,11634.0,Midfielder,0.81
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Hervin Ongenda,11634.0,Midfielder,1.54
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Giannis Anestis,11634.0,Goalkeeper,0.42
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Dino Mikanović,60374.0,Defender,0.75
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Enriko Papa,11634.0,Midfielder,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Elio Capradossi,60374.0,Defender,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Luka Kukić,11634.0,Goalkeeper,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Edvinas Gertmonas,60374.0,Goalkeeper,0.17
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Iulian Cristea,60374.0,Defender,0.74
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Miron,11634.0,Defender,1.13
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Alessandro Murgia,60374.0,Midfielder,0.05
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Mykola Kovtalyuk,11634.0,Forward,0.72
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Sebastian Mailat,11634.0,Forward,0.72
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Eljadji Pape Djibril Diaw,11634.0,Defender,1.85
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Gabriel Simion,60374.0,Midfielder,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrej Fábry,60374.0,Midfielder,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Jonathan Cissé,60374.0,Defender,0.38
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Dumiter,11634.0,Forward,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Mouhamadou Drammeh,60374.0,Midfielder,1.66
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Issouf Macalou,60374.0,Forward,0.78
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Virgiliu Postolachi,60374.0,Forward,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Jug Stanojev,60374.0,Midfielder,0.02
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Gab Dumitru,11943.0,Defender,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Ioan Bârstan,55427.0,Forward,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Luca Stancu,55427.0,Defender,0.24
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Mircea-Mario Tache,11666.0,Midfielder,0.1
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Kevin Ciubotaru,55427.0,Defender,1.11
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Alexandru Gheorghe,11943.0,Forward,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Patrick Patrick Vuc,68616.0,Midfielder,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Adrian Sîrbu,78701.0,Forward,0.22
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Ianis Mihart,68616.0,Forward,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Marian Laurențiu Lis,11943.0,Forward,0.79
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Tarek Aggoun,17715.0,Defender,1.74
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Moses Abbey,11943.0,Midfielder,1.02
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Aboubacar Camara,11943.0,Defender,1.54
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Alexandru Oroian,78702.0,Defender,0.93
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Diogo José Branco Batista,55427.0,Midfielder,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Seydou Saeed Issah,55427.0,Defender,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Nana Kwame Antwi,13276.0,Defender,0.31
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Marko Gjorgjievski,55427.0,Forward,0.28
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Christ Sarkodje Kouadio,17252.0,Defender,0.0
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Yassine Zakir,11943.0,Forward,0.4
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Dragoş Ionuţ Huiban,11943.0,Forward,1.19
"Metaloglobus - Hermannstadt, 1-1_players_stats.json",Florin Bejan,78702.0,Defender,1.87
