match,playerName,teamId,position,goals,assists,shots,passes,interceptions,recoveries,player_score
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Nikola Stevanović,26233.0,Defender,0,0,0,66,2,12,1.72
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Vladimir Screciu,26233.0,Midfielder,0,0,2,93,2,10,2.54
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Soufiane Jebari Jebari,22731.0,Midfielder,0,0,0,14,1,2,0.17
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Maks Juraj Čelić,22034.0,Defender,0,0,0,25,2,6,0.63
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Anzor Mekvabishvili,26233.0,Midfielder,0,0,1,94,2,6,2.01
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Erwin Szilard Bloj,22731.0,Midfielder,0,0,0,5,1,4,0.1
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Monday Bassey Etim,26233.0,Forward,0,2,1,27,1,2,3.06
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Oleksandr Romanchuk,26233.0,Defender,0,0,0,90,2,12,2.17
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Aimé Steven Nsimba Labe,26233.0,Forward,0,0,0,0,0,0,0.0
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0_players_stats.json",Assad Al Hamlawi,26233.0,Forward,2,0,2,8,0,1,3.38
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Alin Chintes,60374.0,Defender,0,0,0,1,3,1,0.09
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Tudor Cosa,60374.0,Goalkeeper,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Răzvan Creţ,11634.0,Defender,0,0,0,32,5,21,1.28
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Dan Dumitru,11634.0,Midfielder,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Adams Friday,11634.0,Defender,0,0,1,18,0,5,0.61
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Narcis Ilaș,11634.0,Defender,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Gabriel David,11634.0,Midfielder,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Ştefan Daniel Lefter,60374.0,Goalkeeper,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Cosmin Gheorghiță,60374.0,Midfielder,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Omar El Sawy,60374.0,Forward,0,0,0,5,6,7,0.56
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Zoran Mitrov,11634.0,Forward,0,1,4,25,1,1,1.97
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Riad Šuta,11634.0,Defender,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Andrei Coubis,60374.0,Defender,0,1,0,13,6,15,2.12
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Ștefan Pănoiu,11634.0,Forward,0,0,0,8,0,0,0.07
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Michael Pavlović,11634.0,Defender,0,0,1,16,2,4,0.57
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Oucasse N'Dayanthane Mendy,60374.0,Forward,0,0,1,3,2,2,0.19
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",John Charles Petro,11634.0,Midfielder,0,0,1,79,11,18,2.29
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Dorin Marian Codrea,60374.0,Midfielder,0,0,1,18,19,11,1.34
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Jovo Lukić,60374.0,Forward,2,0,2,11,7,4,3.52
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Enzo Adrián López,11634.0,Forward,0,0,0,0,0,0,0.0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",Ştefan Bodişteanu,11634.0,Forward,0,0,2,25,3,5,0.74
