Sessions,Week Calendar,Players,Distance (m),Distance - Distance/time (m/min),Duration (min),"Acceleration Zones (count) [3.0, 4.0]","Acceleration Zones (count) [-4.0, -3.0]","Acceleration Zones (count) [4.0, 10.0]","Acceleration Zones (count) [-10.0, -4.0]",Accelerations - High Intensity Acc Abs (m),Accelerations - High Intensity Dec Abs (m),"Speed Zones (m) [15.0, 20.0]","Speed Zones (m) [20.0, 25.0]","Speed Zones (m) [25.0, 50.0]",Load - Power Metabolic AVG (W/kg),Sprints - Sprints Abs (count/min),Total Load,Load Intensity,Fatigue Score
JOI 13.11.2025,72,Raji,6586,73.51,89.6,48,50,19,27,393.93,367,760.29,401.66,0.0,8.5,0.0,26.0546,73.50446428571429,4.804324271697144
Joc Amical Zibru,72,Raji,6677,106.5,62.7,56,62,19,28,527.1,592,1297.48,358.29,176.71,11.2,0.13,35.66242,106.49122807017544,6.575953190356315
MARTI 11.11.2025,72,Raji,7912,101.69,77.82,83,89,27,36,495.53,546,1466.79,191.93,51.19,10.0,0.04,34.04498000000001,101.67052171678233,6.277706191745176
MARTI 18.11.2025 Grupa 1,72,Raji,4958,56.74,87.39,71,56,14,16,280.16,275,195.69,15.96,0.0,6.7,0.0,19.4112,56.734180112140976,3.5793180207244637
MIERCURI A2 12.11.2025 SSG,72,Raji,3635,68.61,52.98,44,48,35,11,333.31,212,271.82,19.8,0.0,7.9,0.0,18.4912,68.61079652699132,3.4096751043119533
MIERECURI 12.112025,72,Raji,3612,41.59,86.84,46,28,9,12,264.3,246,236.42,116.35,7.26,6.1,0.03,17.032519999999998,41.59373560571165,3.140702572450432
Vineri 14.11.2025,72,Raji,6867,54.42,126.18,50,46,15,18,293.21,300,490.51,145.91,7.87,6.7,0.02,22.196940000000005,54.42225392296719,4.092993083732056
JOI 06.11.2025 ,71,Raji,4631,57.96,79.9,39,26,17,7,298.87,137,354.33,786.52,113.93,6.5,0.1,17.326259999999998,57.959949937421776,3.194866605349356
DUMINICA - REACTIVITATE 30.11.2025,74,Postolachi,5002,54.23,92.24,40,27,12,5,250.1,168,302.5,62.68,0.0,6.6,0.0,16.663999999999998,54.228100607111884,3.07274952075876
JOI 27.11.2025 FORTA-SSG ,74,Postolachi,2988,83.0,36.03,28,29,6,2,200.46,178,257.86,43.57,5.1,8.8,0.03,15.1174,82.9308909242298,2.787565026711383
MARTI 25.11.2025  (AEROB ),74,Postolachi,9402,104.92,89.62,44,38,16,15,382.96,324,2053.2,428.72,61.76,10.0,0.07,29.01472,104.9096183887525,5.350154043143881
