Sessions,Week Calendar,Players,Distance (m),Distance - Distance/time (m/min),Duration (min),"Acceleration Zones (count) [3.0, 4.0]","Acceleration Zones (count) [-4.0, -3.0]","Acceleration Zones (count) [4.0, 10.0]","Acceleration Zones (count) [-10.0, -4.0]",Accelerations - High Intensity Acc Abs (m),Accelerations - High Intensity Dec Abs (m),"Speed Zones (m) [15.0, 20.0]","Speed Zones (m) [20.0, 25.0]","Speed Zones (m) [25.0, 50.0]",Load - Power Metabolic AVG (W/kg),Sprints - Sprints Abs (count/min),Total Load,Load Intensity,Fatigue Score
JOC OFICIAL   UTA - U CLUJ ,73,Cristea,11430,115.21,99.22,75,93,28,35,597.22,641,1521.49,459.86,131.44,10.8,0.08,42.25728,115.19854867970167,7.792008933543492
Joi 20.11.2025,73,Cristea,6112,53.33,114.61,66,55,12,17,354.41,291,437.34,95.72,115.81,7.2,0.03,23.001820000000002,53.32867987086642,4.241408508256078
MARTI 18.11.2025 Grupa 2,73,Cristea,5376,65.32,82.31,91,73,18,30,440.59,430,414.67,88.44,0.74,8.8,0.0,27.189279999999997,65.31405661523509,5.013552993865563
Miercuri 19.11.2025,73,Cristea,7385,80.2,92.08,70,53,13,19,449.57,339,788.35,584.19,38.52,9.2,0.04,28.033440000000002,80.20199826238054,5.169211433342503
vineri 21.11.2025,73,Cristea,5217,55.69,93.68,53,58,15,14,237.55,247,268.15,17.15,0.0,7.1,0.0,18.458000000000002,55.68958155422715,3.4035532077631547
JOI 13.11.2025,72,Cristea,5742,64.08,89.6,47,45,11,17,321.83,342,512.22,531.21,34.11,8.8,0.06,23.786820000000002,64.08482142857143,4.386158170629796
Joc Amical Zibru,72,Cristea,8682,71.83,120.89,50,48,18,17,373.18,430,990.15,423.75,113.35,9.6,0.07,30.122300000000006,71.81735461990239,5.554385675057107
MARTI 11.11.2025,72,Cristea,8250,106.02,77.82,46,30,11,26,311.44,312,1993.8,404.91,8.19,10.8,0.01,26.185180000000006,106.01387818041636,4.82840250215926
MIERCURI A2 12.11.2025 SSG,72,Cristea,4113,77.64,52.98,52,55,23,30,411.99,358,292.83,134.55,44.04,8.7,0.08,24.350880000000004,77.6330690826727,4.4901677178381
MIERECURI 12.112025,72,Cristea,3891,44.8,86.84,39,38,17,13,212.2,201,246.31,97.58,0.0,6.7,0.0,15.505,44.80654076462459,2.859036324973871
Vineri 14.11.2025,72,Cristea,6279,49.76,126.18,47,44,13,16,199.35,224,437.15,96.51,7.17,7.0,0.01,18.31034,49.7622444127437,3.3763255196789466
COMPENSATOR 07.11.2025,71,Cristea,1538,140.67,10.93,7,4,5,0,152.23,40,432.57,666.96,0.72,15.2,0.09,13.43404,140.71363220494052,2.4771627443503372
JOI 06.11.2025 ,71,Cristea,4429,55.43,79.9,50,45,12,18,263.15,249,273.82,33.97,0.0,7.2,0.0,18.272000000000002,55.431789737171464,3.36925583553193
LUNI 03.11.2025 COMPENSATOR ,71,Cristea,5080,69.42,73.18,64,38,8,15,307.39,251,480.27,32.74,0.0,8.5,0.0,20.4978,69.41787373599344,3.7796810565655865
MARTI 04.11.2025 METABOLIC,71,Cristea,6997,59.74,117.12,74,70,12,24,396.53,419,503.37,63.79,0.0,8.3,0.0,27.4576,59.74214480874317,5.063029719226221
MIERCURI 05.11.2025,71,Cristea,5250,47.23,111.17,38,32,10,16,247.54,245,330.28,90.68,107.36,7.1,0.04,19.06552,47.224970765494284,3.515576538827206
DUMINICA - REACTIVITATE 30.11.2025,74,Codrea,5965,67.05,92.24,41,44,25,19,310.22,276,333.71,36.36,0.0,7.1,0.0,21.2394,64.66825672159584,3.916427998752017
JOI 27.11.2025 FORTA-SSG ,74,Codrea,3202,88.92,36.03,37,31,5,2,197.81,158,204.15,24.21,0.0,8.6,0.0,14.618200000000002,88.87038578961976,2.695515305110161
MARTI 25.11.2025  (AEROB ),74,Codrea,9957,111.1,89.62,46,34,4,8,220.16,232,1580.6,152.09,0.0,10.0,0.0,24.0002,111.10243249274716,4.425504263569035
TEHNIC + TACTIC -29.11.2025,74,Codrea,4918,51.78,94.97,41,21,11,4,340.45,170,240.57,155.02,86.06,6.4,0.04,18.69912,51.78477413920185,3.4480144034211806
Tactic 26.11.2025,74,Codrea,7237,77.18,93.78,56,39,19,11,364.62,267,595.0,107.56,0.0,8.0,0.0,23.8694,77.1699722755385,4.401385466322561
VINERI 28.11.2025,74,Codrea,7837,75.33,104.04,35,40,3,10,185.57,223,603.91,105.32,27.33,7.4,0.03,19.913059999999994,75.3267973856209,3.6718582316274864
JOC OFICIAL   UTA - U CLUJ ,73,Codrea,10915,117.75,92.69,57,67,12,25,382.84,448,1229.29,323.15,26.35,10.2,0.02,32.7845,117.75811845938074,6.045280644702088
Joi 20.11.2025,73,Codrea,7122,62.14,114.61,49,35,13,9,276.36,200,426.64,59.23,80.95,6.8,0.03,20.361099999999997,62.141174417590086,3.754474331920379
MARTI 18.11.2025 Grupa 2,73,Codrea,5653,68.69,82.31,60,39,22,13,351.11,252,337.12,79.48,35.87,7.5,0.05,21.786939999999998,68.6793828210424,4.017391349243871
Miercuri 19.11.2025,73,Codrea,7610,82.64,92.08,54,32,12,16,387.73,267,904.1,530.63,3.75,8.8,0.01,25.1621,82.64552562988706,4.639752203329573
vineri 21.11.2025,73,Codrea,5684,60.68,93.68,41,39,13,10,183.79,187,189.01,16.25,0.0,6.5,0.0,16.349800000000002,60.674637062339876,3.0148127769144017
JOI 13.11.2025,72,Codrea,6757,75.42,89.6,47,42,9,13,297.28,253,475.9,429.35,5.76,8.5,0.04,22.22412,75.41294642857143,4.098004925545198
Joc Amical Zibru,72,Codrea,12644,104.59,120.89,44,64,23,28,376.13,503,1626.22,419.81,12.94,10.8,0.02,35.75248,104.59095045082306,6.592559756717304
MARTI 11.11.2025,72,Codrea,8453,108.63,77.82,42,28,4,4,261.79,179,1816.35,155.63,0.0,9.9,0.0,22.218799999999998,108.62246209200721,4.097023946941595
MIERCURI A2 12.11.2025 SSG,72,Codrea,4043,76.31,52.98,43,41,24,11,280.13,228,277.02,47.86,0.79,8.0,0.0,18.20718,76.31181577953946,3.357303385703822
MIERECURI 12.112025,72,Codrea,4092,47.13,86.84,40,24,6,8,212.84,167,320.54,94.79,0.0,6.3,0.0,14.8388,47.12114233072317,2.7361927261542904
Vineri 14.11.2025,72,Codrea,6639,52.62,126.18,42,26,3,8,221.99,140,335.42,13.49,10.15,6.4,0.01,17.149100000000004,52.6153114598193,3.1621992802714876
JOI 06.11.2025 ,71,Codrea,5295,66.27,79.9,44,45,11,19,230.28,243,298.76,41.65,2.38,6.9,0.01,18.26536,66.270337922403,3.3680314562221696
LUNI 03.11.2025 COMPENSATOR ,71,Codrea,5618,76.78,73.18,45,32,10,6,216.01,167,241.0,17.35,0.0,8.1,0.0,17.3282,76.76960918283683,3.195224330629618
MARTI 04.11.2025 METABOLIC,71,Codrea,8046,68.7,117.12,46,39,13,11,307.8,269,646.37,99.1,0.0,8.0,0.0,23.582,68.69877049180327,4.348390494391088
MIERCURI 05.11.2025,71,Codrea,6029,54.23,111.17,41,25,9,8,260.2,213,335.76,100.14,73.93,6.6,0.04,19.14086,54.23225690384096,3.529468818525596
DUMINICA - REACTIVITATE 30.11.2025,74,Cisse,4588,51.32,92.24,42,34,15,4,255.73,180,193.38,1.83,0.0,6.4,0.0,16.5026,49.739809193408504,3.0429882525968273
JOI 27.11.2025 FORTA-SSG ,74,Cisse,3077,85.44,36.03,58,50,14,21,302.06,267,251.71,17.67,0.0,8.8,0.0,18.8582,85.40105467665833,3.4773478764025962
MARTI 25.11.2025  (AEROB ),74,Cisse,8922,99.56,89.62,63,38,11,13,325.51,331,1252.12,358.63,72.14,9.6,0.06,27.296480000000003,99.55367105556795,5.033320081517108
TEHNIC + TACTIC -29.11.2025,74,Cisse,4751,50.02,94.97,34,15,16,6,270.28,66,235.73,169.27,94.69,5.9,0.04,14.81598,50.02632410234811,2.7319848442493626
Tactic 26.11.2025,74,Cisse,5969,63.66,93.78,58,22,12,8,296.06,128,301.78,24.98,0.0,7.6,0.0,18.2502,63.64896566432075,3.3652360359908506
VINERI 28.11.2025,74,Cisse,5674,54.53,104.04,52,38,13,6,268.44,199,276.49,49.36,8.1,6.6,0.01,18.389,54.536716647443285,3.3908299890322158
JOC OFICIAL   UTA - U CLUJ ,73,Cisse,811,80.33,10.1,6,10,4,3,50.22,59,89.78,34.94,1.35,8.8,0.1,7.8981,80.2970297029703,1.4563659979539587
Joi 20.11.2025,73,Cisse,4976,43.42,114.61,27,15,3,5,122.14,59,84.89,45.41,72.56,5.5,0.03,11.643920000000001,43.41680481633365,2.147074507906466
Miercuri 19.11.2025,73,Cisse,6237,67.73,92.08,41,20,12,6,300.79,142,448.93,481.1,3.6,7.7,0.01,19.0,67.73457862728063,3.503495012867046
vineri 21.11.2025,73,Cisse,4877,52.06,93.68,55,43,10,10,211.06,191,165.2,10.7,0.0,6.3,0.0,16.0682,52.060204953031594,2.9628872929342247
JOI 13.11.2025,72,Cisse,5745,64.12,89.6,56,34,12,11,326.38,224,406.84,412.64,11.86,8.4,0.01,21.026320000000002,64.11830357142857,3.8771372241550854
Joc Amical Zibru,72,Cisse,4002,33.1,120.89,24,23,19,13,355.44,306,361.46,394.16,153.87,9.7,0.06,22.68854,33.104475142691705,4.183641407328131
MARTI 11.11.2025,72,Cisse,8249,106.02,77.82,55,29,6,11,288.29,224,1734.36,73.62,0.0,9.9,0.0,23.4448,106.00102801336418,4.323091572508701
MARTI 18.11.2025 Grupa 1,72,Cisse,5012,57.36,87.39,80,68,19,12,318.55,302,202.38,29.51,20.94,7.1,0.02,21.114880000000003,57.35209978258382,3.893467198804534
MIERCURI A2 12.11.2025 SSG,72,Cisse,3719,70.2,52.98,56,34,18,8,260.75,158,148.36,15.99,0.0,8.0,0.0,16.094,70.19630049075123,2.9676446703727493
MIERECURI 12.112025,72,Cisse,3751,43.2,86.84,39,28,5,6,198.8,161,154.61,107.53,10.74,6.1,0.02,14.11848,43.19438046982957,2.60336969838227
Vineri 14.11.2025,72,Cisse,5873,46.54,126.18,26,20,7,3,124.66,84,186.82,0.0,0.0,6.4,0.0,13.246199999999998,46.54461879854176,2.442526086286287
JOC OFICIAL U-METALOGLOBUS,71,Cisse,11091,110.62,100.27,82,72,20,33,521.61,533,1411.69,405.41,49.46,10.9,0.06,38.03212,110.61134935673681,7.01291277625058
JOI 06.11.2025 ,71,Cisse,4746,59.4,79.9,61,48,24,15,384.12,268,302.5,88.41,14.46,7.4,0.01,21.56732,59.39924906132666,3.9768946347846152
MARTI 04.11.2025 METABOLIC,71,Cisse,7570,64.63,117.12,81,45,19,20,492.15,306,597.92,118.36,0.0,7.9,0.0,27.483,64.63456284153006,5.067713338875002
MIERCURI 05.11.2025,71,Cisse,5843,52.56,111.17,60,42,19,12,382.27,230,250.86,111.18,88.27,6.7,0.04,21.81494,52.55914365386345,4.022554394525991
DUMINICA - REACTIVITATE 30.11.2025,74,Chipciu,4698,50.94,92.24,31,25,11,2,194.2,151,276.05,4.83,0.0,6.2,0.0,14.702,50.93235039028621,2.710967562061648
JOI 27.11.2025 FORTA-SSG ,74,Chipciu,3483,96.73,36.03,43,41,8,5,238.01,253,320.33,33.24,0.0,9.8,0.0,18.203200000000002,96.66944213155703,3.3565694956958643
MARTI 25.11.2025  (AEROB ),74,Chipciu,9413,105.05,89.62,33,35,9,19,244.43,348,1782.21,266.08,14.83,9.9,0.01,26.29126,105.03235884847132,4.847963067999518
TEHNIC + TACTIC -29.11.2025,74,Chipciu,5276,55.56,94.97,29,22,15,3,256.22,137,237.85,194.63,102.31,6.2,0.04,16.645020000000002,55.554385595451194,3.069249713635381
Tactic 26.11.2025,74,Chipciu,6019,64.19,93.78,42,27,9,7,277.69,165,432.08,110.91,0.0,7.5,0.0,18.6228,64.18212838558328,3.4339414171379175
VINERI 28.11.2025,74,Chipciu,6841,65.76,104.04,44,52,6,6,283.4,302,557.9,126.01,17.91,7.1,0.02,22.234820000000003,65.75355632449057,4.099977946420866
Joi 20.11.2025,73,Chipciu,5971,52.1,114.61,38,39,18,12,286.2,241,317.73,150.91,83.15,6.4,0.03,20.031299999999998,52.09842073117529,3.6936610342759812
vineri 21.11.2025,73,Chipciu,5307,56.66,93.68,51,47,22,25,262.27,268,225.62,51.08,0.63,6.2,0.01,19.063660000000002,56.65029888983774,3.5152335651048943
JOC OFICIAL U-METALOGLOBUS,71,Chipciu,10630,106.01,100.27,51,66,20,24,490.55,519,1585.03,439.31,54.68,10.1,0.03,36.13036,106.01376284033111,6.662238740689
JOI 06.11.2025 ,71,Chipciu,4512,56.47,79.9,26,30,10,11,148.25,168,266.17,16.01,0.0,6.4,0.0,14.036999999999999,56.470588235294116,2.5883452366113007
MARTI 04.11.2025 METABOLIC,71,Chipciu,7189,61.38,117.12,50,40,11,19,323.32,300,495.57,105.08,0.0,7.3,0.0,23.3054,61.381489071038246,4.297386982782719
MIERCURI 05.11.2025,71,Chipciu,5302,47.69,111.17,39,27,5,14,286.25,208,391.94,120.35,67.95,6.3,0.04,18.6729,47.69272285688585,3.4431795803034237
DUMINICA - REACTIVITATE 30.11.2025,74,Chintes,5393,59.95,92.24,46,45,19,16,299.67,259,377.24,34.22,0.0,7.5,0.0,20.3164,58.46704249783175,3.746231898916424
TEHNIC + TACTIC -29.11.2025,74,Chintes,4962,52.25,94.97,45,31,7,7,273.07,194,255.12,143.35,97.75,6.7,0.06,18.1489,52.248078340528586,3.3465568757380386
VINERI 28.11.2025,74,Chintes,7262,69.79,104.04,58,39,11,34,350.1,346,607.33,229.65,57.01,7.8,0.04,25.39802,69.80007689350249,4.68325454772092
Joi 20.11.2025,73,Chintes,6558,57.22,114.61,73,52,15,26,412.82,343,450.01,113.57,56.5,7.4,0.03,25.637399999999996,57.22013785882558,4.727394896993557
vineri 21.11.2025,73,Chintes,5038,53.78,93.68,62,41,16,23,294.95,208,218.63,49.72,3.72,7.1,0.01,18.70444,53.77882152006831,3.448995382024784
JOC OFICIAL U-METALOGLOBUS,71,Chintes,8491,121.46,69.91,61,61,20,36,485.39,538,1379.91,419.34,89.33,11.8,0.11,35.58745999999999,121.45615791732227,6.562130980558182
JOI 06.11.2025 ,71,Chintes,5257,65.8,79.9,51,61,28,42,370.19,401,391.88,137.08,3.7,7.7,0.01,24.5882,65.7947434292866,4.533928214493553
MARTI 04.11.2025 METABOLIC,71,Chintes,8006,68.36,117.12,76,68,29,26,641.28,492,843.51,251.79,15.25,8.7,0.02,35.152100000000004,68.35724043715847,6.481853002200194
MIERCURI 05.11.2025,71,Chintes,6920,62.25,111.17,53,62,15,23,440.05,437,438.39,196.44,154.04,7.6,0.08,28.969079999999998,62.24700908518485,5.341738279334026
DUMINICA - REACTIVITATE 30.11.2025,74,Bota,6464,72.12,92.24,71,70,40,35,458.76,359,266.59,68.4,5.33,7.2,0.0,26.429860000000005,70.07805724197745,4.873520142146012
TEHNIC + TACTIC -29.11.2025,74,Bota,6738,70.95,94.97,64,55,24,38,400.8,349,383.28,170.5,67.26,6.6,0.04,25.36852,70.94872064862588,4.677814910727259
VINERI 28.11.2025,74,Bota,6539,62.85,104.04,56,52,24,29,333.81,366,448.95,120.11,27.61,6.7,0.04,24.14042,62.85082660515186,4.451360056763994
Joi 20.11.2025,73,Bota,7089,61.85,114.61,54,50,39,30,335.01,355,505.5,58.12,79.76,6.4,0.03,24.39872,61.85324142744961,4.49898914949155
Miercuri 19.11.2025,73,Bota,6926,78.23,88.49,74,45,24,23,517.41,321,611.8,551.3,74.72,8.3,0.08,28.393639999999998,78.26873093004859,5.235630323007488
vineri 21.11.2025,73,Bota,4975,53.11,93.68,59,54,21,35,300.35,341,329.78,65.16,0.0,7.4,0.0,21.502,53.1063193851409,3.9648499877193273
JOI 13.11.2025,72,Bota,7683,85.75,89.6,81,91,37,34,539.73,513,717.09,431.33,75.13,9.0,0.08,33.78786,85.74776785714286,6.230294684497366
Joc Amical Zibru,72,Bota,10830,89.59,120.89,77,77,34,36,593.0,626,1570.71,437.23,60.06,10.1,0.03,40.53011999999999,89.58557366200678,7.473530173205415
MARTI 11.11.2025,72,Bota,8897,114.34,77.82,67,62,10,31,391.08,502,1856.44,383.92,28.58,10.8,0.06,32.51576,114.32793626317144,5.995726473662199
MARTI 18.11.2025 Grupa 1,72,Bota,6156,70.45,87.39,90,69,37,32,551.59,422,386.9,98.76,15.37,7.6,0.01,29.508540000000004,70.44284243048403,5.44121172247304
MIERCURI A2 12.11.2025 SSG,72,Bota,4772,90.07,52.98,82,65,26,35,383.91,330,243.95,22.1,0.0,8.5,0.0,23.3002,90.07172517931295,4.2964281315160395
MIERECURI 12.112025,72,Bota,5334,61.43,86.84,45,48,20,19,349.46,319,328.21,135.52,37.82,6.6,0.05,22.32884,61.423307231690465,4.117314714900326
Vineri 14.11.2025,72,Bota,7229,57.32,126.18,55,46,35,36,429.95,372,481.49,123.72,10.42,6.9,0.02,26.83884,57.291171342526546,4.948933794270347
JOI 06.11.2025 ,71,Bota,5719,71.58,79.9,50,64,27,30,296.44,359,336.38,73.48,13.0,7.3,0.01,22.5538,71.57697121401752,4.158796095852672
MARTI 04.11.2025 METABOLIC,71,Bota,7390,68.99,107.13,97,83,40,46,610.38,524,645.51,117.47,0.0,8.3,0.0,34.2276,68.98161112666854,6.311380310653059
MIERCURI 05.11.2025,71,Bota,6818,61.33,111.17,52,51,21,28,386.48,420,468.93,145.9,90.69,7.1,0.05,26.928980000000003,61.329495367455245,4.965555112189286
Bic Sambata 29.11.2025,74,Bic,5255,55.26,95.09,45,33,8,19,272.06,222,286.66,64.87,33.22,6.1,0.03,18.40264,55.26343464086654,3.393345129662506
DUMINICA - REACTIVITATE 30.11.2025,74,Bic,5560,60.27,92.24,43,47,16,16,281.78,310,425.31,51.59,0.0,7.0,0.0,20.895599999999998,60.27753686036427,3.85303317846656
JOI 27.11.2025 FORTA-SSG ,74,Bic,3709,102.99,36.03,50,35,9,19,302.62,250,326.75,89.44,7.12,9.6,0.03,19.72564,102.94199278379128,3.6372990192426693
MARTI 25.11.2025  (AEROB ),74,Bic,10268,114.58,89.62,57,53,17,31,346.23,492,1690.64,403.64,95.47,10.4,0.09,32.873540000000006,114.57264003570631,6.06169912869923
Tactic 26.11.2025,74,Bic,7409,79.01,93.78,61,35,8,20,351.5,242,591.68,139.52,1.43,8.3,0.01,23.48186,79.0040520366816,4.329925231728535
VINERI 28.11.2025,74,Bic,8113,77.98,104.04,65,45,11,17,426.64,332,783.14,218.71,54.65,7.9,0.04,27.5451,77.97962322183776,5.079164235732846
JOC OFICIAL   UTA - U CLUJ ,73,Bic,13065,131.68,99.22,90,101,23,57,712.64,859,2518.73,952.68,225.05,12.1,0.16,51.79789999999999,131.67708123362226,9.551246543525574
Joi 20.11.2025,73,Bic,6686,58.34,114.61,45,41,13,14,327.81,253,501.57,93.94,101.62,6.8,0.03,22.055439999999997,58.33696885088561,4.066901265609913
MARTI 18.11.2025 Grupa 2,73,Bic,5514,66.99,82.31,57,41,10,16,244.22,196,235.69,1.72,0.0,7.2,0.0,17.918400000000002,66.99064512209938,3.304053949397731
Miercuri 19.11.2025,73,Bic,7604,82.66,91.95,50,36,20,24,433.73,249,704.81,533.88,2.19,8.5,0.0,25.512980000000002,82.69711799891245,4.70445253649351
vineri 21.11.2025,73,Bic,5397,57.61,93.68,36,31,10,11,185.07,168,250.52,33.26,0.0,6.3,0.0,15.6084,57.61101622544833,2.878102713622842
JOI 13.11.2025,72,Bic,6939,77.44,89.6,50,35,17,30,356.4,307,550.22,444.38,17.18,8.4,0.02,24.54136,77.44419642857143,4.525291177314463
Joc Amical Zibru,72,Bic,7138,59.05,120.89,42,36,11,12,426.32,356,1022.14,400.62,267.56,11.7,0.08,29.569519999999997,59.045413185540575,5.4524560975195975
MARTI 11.11.2025,72,Bic,8427,108.3,77.82,43,33,5,12,292.75,268,1963.5,279.43,9.83,10.3,0.01,24.861659999999997,108.28835774865074,4.584352727452426
MIERCURI A2 12.11.2025 SSG,72,Bic,4283,80.84,52.98,58,34,12,16,371.83,233,277.88,83.9,8.77,8.0,0.02,20.49714,80.84182710456777,3.779559356212508
MIERECURI 12.112025,72,Bic,3959,45.59,86.84,28,28,7,11,187.01,189,233.16,102.46,5.0,6.0,0.01,14.5392,45.589590050667894,2.680948141635608
Vineri 14.11.2025,72,Bic,6951,55.09,126.18,45,33,9,12,279.28,244,604.47,61.08,0.0,6.6,0.0,20.7166,55.08796956728483,3.8200265675558653
JOC OFICIAL U-METALOGLOBUS,71,Bic,12850,128.16,100.27,76,73,23,62,621.3,734,2404.89,717.64,194.0,12.0,0.13,46.994,128.15398424254514,8.665433928140734
JOI 06.11.2025 ,71,Bic,4963,62.12,79.9,52,32,16,11,229.31,192,291.72,70.17,0.0,6.9,0.0,16.839199999999998,62.115143929912385,3.1050554326668816
MARTI 04.11.2025 METABOLIC,71,Bic,7658,65.39,117.12,39,34,5,4,211.88,181,531.16,49.93,0.0,7.7,0.0,19.3656,65.38592896174863,3.5709096326935823
MIERCURI 05.11.2025,71,Bic,6345,57.08,111.17,46,34,10,24,275.95,263,503.49,96.21,0.0,6.6,0.0,20.424000000000003,57.07475038229738,3.7660727443577136
DUMINICA - REACTIVITATE 30.11.2025,74,Atanas,5841,65.22,92.24,47,51,24,27,382.46,409,511.06,97.98,4.32,7.4,0.01,25.42884,63.323937554206424,4.68893758542074
MARTI 25.11.2025  (AEROB ),74,Atanas,6304,70.34,89.62,52,51,8,10,221.79,307,949.59,89.3,0.0,9.0,0.0,21.3798,70.34144164249051,3.942316982952361
TEHNIC + TACTIC -29.11.2025,74,Atanas,5640,59.38,94.97,54,43,14,25,336.29,347,374.18,116.86,90.22,6.4,0.04,22.88624,59.387174897336,4.2200961949093845
VINERI 28.11.2025,74,Atanas,7572,72.77,104.04,37,43,7,12,299.16,330,638.26,208.73,16.38,7.6,0.02,24.087960000000002,72.77970011534025,4.441686722638995
Joi 20.11.2025,73,Atanas,5542,55.87,114.61,30,14,7,8,158.93,85,534.29,320.38,75.41,6.9,0.03,14.17142,48.355291859349094,2.6131315418549637
vineri 21.11.2025,73,Atanas,5258,56.13,93.68,40,40,19,18,209.84,213,171.92,55.36,0.72,6.3,0.0,16.86624,56.12724167378309,3.1100414592536154
JOI 06.11.2025 ,71,Atanas,5548,69.44,79.9,54,42,18,26,344.14,275,310.0,87.18,0.0,6.8,0.0,21.330799999999996,69.43679599499374,3.9332816537086512
MARTI 04.11.2025 METABOLIC,71,Atanas,7703,65.77,117.12,63,42,18,35,471.5,452,732.1,275.7,41.47,8.2,0.03,30.505940000000002,65.77015027322405,5.625126771201123
MIERCURI 05.11.2025,71,Atanas,6525,58.69,111.17,35,35,9,17,278.85,282,490.21,125.86,102.18,6.6,0.06,21.546360000000004,58.693892237114326,3.973029726602001
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Tosca,6997,63.51,110.17,35,46,3,15,240.99,392,624.8,166.74,21.05,7.8,0.01,23.6489,63.51093764182627,4.360726484725868
MARTI 16.12.2025 ,77,Tosca,7005,80.65,86.86,24,49,3,3,115.64,207,849.58,60.33,0.0,8.2,0.0,17.5578,80.64701819019112,3.237561301943001
MIERCURI 17.12.2025 FORTA,77,Tosca,3902,58.86,66.3,32,28,3,11,182.36,195,233.01,46.39,12.76,6.9,0.02,15.02472,58.853695324283564,2.770475346827567
SAMBATA 20.12.2025 REACTIVITATE,77,Tosca,4394,53.46,82.2,27,43,5,12,171.11,201,232.97,57.5,12.73,6.5,0.01,15.161660000000003,53.454987834549875,2.79572632614662
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Tosca,4014,52.39,76.62,18,15,5,3,142.02,68,101.66,43.65,113.51,6.1,0.05,11.741419999999998,52.3884103367267,2.1650529691567044
JOI - 11.12.2025,76,Tosca,7252,66.56,108.94,37,32,9,17,307.73,273,526.79,304.43,35.19,7.7,0.04,22.986980000000003,66.5687534422618,4.238672094256554
MIERCURI 10.12.2025 FORTA,76,Tosca,4287,63.39,67.63,25,27,6,16,164.49,238,364.13,77.52,0.0,7.2,0.0,15.9368,63.38902853763123,2.9386578590031336
SAMBATA 13.12.2025 REACTIVITATE,76,Tosca,5082,55.75,91.17,23,25,10,9,153.06,153,155.01,57.51,0.0,6.4,0.0,14.403200000000002,55.742020401447846,2.6558704931224546
TACTIC OFENSIV -  12.12.2025 ,76,Tosca,4734,48.48,97.65,30,33,9,9,237.02,158,189.08,51.32,122.94,6.4,0.04,16.280279999999998,48.47926267281106,3.001993673056795
COMPENSATOR MARTI 02.12.2025,75,Tosca,3487,58.55,59.56,24,17,5,5,131.11,91,122.27,22.36,0.0,6.8,0.0,11.3292,58.54600402955003,2.0890418789354386
SAMBATA 06.12.2025 REACTIVITATE,75,Tosca,3451,52.79,65.32,16,19,4,9,84.73,113,170.98,57.45,6.47,6.0,0.02,10.51854,52.83221065523577,1.9395606543496071
SEPSI-U CLUJ CUPA ,75,Tosca,10567,105.57,100.1,81,76,21,55,568.45,661,1262.45,428.12,140.42,10.1,0.09,40.93684,105.56443556443557,7.548527093817694
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Taiwo,6072,55.11,110.17,44,28,24,11,335.21,191,387.85,372.56,0.0,6.5,0.0,19.8462,55.11482254697286,3.6595296170716822
MARTI 16.12.2025 ,77,Taiwo,7482,86.13,86.86,96,80,38,30,442.36,382,718.01,176.89,0.77,8.4,0.0,28.17074,86.13861386138613,5.194528794672326
MIERCURI 17.12.2025 FORTA,77,Taiwo,3975,59.95,66.3,51,46,17,14,241.63,200,184.51,5.31,0.0,6.9,0.0,16.2576,59.95475113122172,2.9978116063782783
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Taiwo,4645,60.63,76.62,45,32,5,12,217.06,155,159.99,51.18,123.09,6.4,0.05,15.78238,60.623858000522056,2.9101836642722425
JOI - 11.12.2025,76,Taiwo,6561,60.22,108.94,58,51,15,7,366.65,296,335.85,377.33,82.19,7.3,0.04,23.82838,60.22581237378373,4.393821604984256
MARTI 12.09.2025 AEROB,76,Taiwo,6542,86.69,75.47,83,76,29,26,422.11,415,922.73,165.17,7.4,8.7,0.01,27.699,86.68345037763349,5.107542545337069
MIERCURI 10.12.2025 FORTA,76,Taiwo,3562,67.31,52.92,30,27,17,23,246.98,232,322.76,76.15,0.0,7.9,0.0,17.0916,67.30914588057445,3.151596597995705
TACTIC OFENSIV -  12.12.2025 ,76,Taiwo,5043,51.65,97.65,47,42,18,12,245.5,203,154.91,70.23,82.9,5.4,0.03,17.0288,51.64362519201229,3.140016625005808
COMPENSATOR MARTI 02.12.2025,75,Taiwo,3746,62.89,59.56,59,43,26,20,299.92,196,114.98,15.73,0.0,6.6,0.0,16.9644,62.894560107454666,3.1281416208569324
SAMBATA 06.12.2025 REACTIVITATE,75,Taiwo,5697,86.2,66.05,59,48,28,19,462.92,359,1184.79,497.01,148.67,8.5,0.15,27.43274,86.25283875851628,5.058445672593596
SEPSI-U CLUJ CUPA ,75,Taiwo,3813,104.13,36.62,33,26,15,22,322.24,285,407.58,314.91,223.43,10.4,0.3,23.104660000000003,104.12342981977062,4.260371635999407
TRAINING 05.12.2025,75,Taiwo,3389,69.42,48.82,43,33,12,21,217.83,211,210.74,34.58,17.57,7.2,0.04,15.80074,69.41827120032774,2.913569146821518
LUNI 01.12.2025 Compensator ,74,Taiwo,5184,99.56,52.07,16,7,2,0,70.37,27,1238.57,9.14,0.0,9.7,0.0,11.9814,99.5582869214519,2.2093039551139593
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Simion,8327,75.59,110.17,57,43,20,16,429.3,331,1010.15,194.24,17.38,8.3,0.01,27.76776,75.58318961604793,5.12022150939416
